Dataflow,FREQ:Frequency,BORROWERS_CTY:Borrowers' country,TC_BORROWERS:Borrowing sector,TC_LENDERS:Lending sector,VALUATION:Valuation,UNIT_TYPE:Unit type,TC_ADJUST:Type of adjustment,TIME_PERIOD:Time period or range,OBS_VALUE:Observation Value,COLLECTION:Collection Indicator,UNIT_MULT:Unit Multiplier,UNIT_MEASURE:Unit of measure,TITLE_TS:Title (tseries level),OBS_STATUS:Observation Status,OBS_PRE_BREAK:Pre-Break Observation,OBS_CONF:Observation Confidentiality
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1988-Q2,76.3,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1988-Q3,75.1,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1988-Q4,74,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1989-Q1,71.6,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1989-Q2,70.9,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1989-Q3,71.5,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1989-Q4,77.3,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1990-Q1,78.4,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1990-Q2,80.8,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1990-Q3,84.1,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1990-Q4,87.1,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1991-Q1,86.1,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1991-Q2,85.7,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1991-Q3,87,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1991-Q4,88.4,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1992-Q1,84.8,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1992-Q2,83.8,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1992-Q3,80.8,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1992-Q4,85.1,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1993-Q1,88.9,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1993-Q2,87.5,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1993-Q3,85,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1993-Q4,87.8,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1994-Q1,85,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1994-Q2,83.5,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1994-Q3,81.7,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1994-Q4,81,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1995-Q1,79.3,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1995-Q2,77.6,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1995-Q3,77.5,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1995-Q4,80.3,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1996-Q1,79.3,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1996-Q2,81.6,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1996-Q3,81,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1996-Q4,83.3,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1997-Q1,86.5,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1997-Q2,86.9,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1997-Q3,88.1,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1997-Q4,91,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1998-Q1,90.4,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1998-Q2,92.1,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1998-Q3,95.6,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1998-Q4,97.8,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1999-Q1,97.9,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1999-Q2,99.4,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1999-Q3,101,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1999-Q4,112.6,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,2000-Q1,112.5,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,2000-Q2,109,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,2000-Q3,110.2,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,2000-Q4,113,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,2001-Q1,103,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,2001-Q2,104.6,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,2001-Q3,104.2,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,2001-Q4,104.9,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,2002-Q1,113.9,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,2002-Q2,116.5,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,2002-Q3,118.4,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,CN: China,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,2002-Q4,119.8,E: End of period,0: Units,367: Per Cent,China - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
