"Country","iso3c","iso2c","y","Abslat","Spanish","French","Brit","WarDummy","LatAmerica","SubSahara","OutwarOr","Area","PrScEnroll","LifeExp","GDP60","Mining","EcoOrg","YrsOpen","Age","Buddha","Catholic","Confucian","EthnoL","Hindu","Jewish","Muslim","PrExports","Protestants","RuleofLaw","Popg","WorkPop","LabForce","HighEnroll","PublEdupct","RevnCoup","PolRights","CivlLib","English","Foreign","RFEXDist","EquipInv","NequipInv","stdBMP","BlMktPm","Accounts1000","NetInterestMargin","BankZscore","Privatecredit","MarketCap.WOtop10","MarketCap","MarketTurn","MarketVol","BankBranches","ATMs1000","findex","finrev","Lrev","sum_cr","max_cr","legor_uk","legor_ge","legor_sc","legor_fr","fst","statehist","group"
"Cameroon","CMR","CM",0.00690875024450629,10.73,0,1,0,0,0,1,1,475,0.65,43.4,6.5468,0.088,5,0.156,0,0,0.16,0,0.89,0,0,0.16,0.915,0.17,0.5,0.026343,-0.71662,2587.055,0.002,0.0221,0.08,6.0556,5.5556,0,0.007,187,0.004,0.125,4.4726,0.05,44.8971483333333,5.38748807692308,32.8344261538462,16.2561387674419,NA,NA,NA,NA,1.2792692375,0.82942695,0.278860042424242,0,0,0.257575757575758,2,0,0,0,1,1597.5798,0.4377196,"Sub-Sahara"
"Congo Rep.","COG","CG",0.020505438855176,3.684,0,1,0,0,0,1,1,342,0.78,47.3,6.9689,0.168,1,0,0,0,0.25,0,0.66,0,0,0.02,0.71,0.25,0.33333,0.027473,-0.77414,455.5668,0.005,0.0311,0.36,6.5556,6.1667,0,0,191,0.0498,0.2384,4.4767,0.05,43.07959,2.715519,NA,6.38992215789474,NA,NA,NA,NA,1.4890608125,1.23714205,NA,NA,NA,0.257575757575758,2,0,0,0,1,2088.0098,0.2585092,"Sub-Sahara"
"Colombia","COL","CO",0.0203962268398697,4.788,1,0,0,1,1,0,0,1139,0.77,53.2,7.4128,0.062,3,0.089,0,0,0.95,0,0.06,0,0,0,0.919,0,0.33333,0.02444,-1.1953,4823.1411,0.017,0.023,0,2.1111,2.8889,0,0.98,81,0.016,0.1644,14.6629,0.184,1071.86833333333,4.947786,5.14646961538462,24.9382795744681,32.0344444444444,21.7155330434783,9.86456008695652,22.114618,13.8596771428571,30.88953,0.330447315151515,-0.0044642875,0,0.916666666666667,4,0,0,0,1,780.01385,0.2744795,"Lat. America"
"Costa Rica","CRI","CR",0.0220754049059697,9.941,1,0,0,0,1,0,0,51,0.96,61.9,7.6074,0.035,3,0.422,76,0,0.95,0,0.07,0,0,0,0.803,0,0.66667,0.030175,-1.1967,373.5192,0.049,0.035,0,1,1,0.016,0.891,91,0.031,0.1161,15.9528,0.221,987.57175,6.39297323076923,27.8204007692308,23.2846677058824,NA,8.9068936875,5.4770433,NA,19.554345,36.73904,0.268398275757576,-0.005952384375,0,0.473988439306358,3,0,0,0,1,392.23288,0.2592592,"Lat. America"
"Cyprus","CYP","CY",0.0388616184039894,35.081,0,0,1,1,0,0,0,9,1,68.8,7.6202,0.004,5,1,0,0,0,0,0.35,0,0,0.18,0.843,0,0.33333,0.006819,-0.89135,234.9873,0.009,0.0118,0.12,2.1111,2.8333,0,0.003,92,0.0551,0.2578,3.0204,0.03,NA,3.25305502307692,5.36107246153846,98.4163429411765,20.24025,38.769869,30.83825125,NA,112.8031,65.681895,NA,NA,NA,0.257575757575758,2,1,0,0,0,454.0665,0.5695063,"Rest"
"Germany","DEU","DE",0.0239806963087791,48.161,0,0,0,0,0,0,1,249,1,69.4,8.8039,0.005,5,0.8,76,0,0.37,0,0.03,0,0,0,0.109,0.45,1,0.002908,-0.75035,26175.46,0.061,0.0211,0.08,1,1.6389,0,0.949,109,0.077871,0.20793,0.001,0,NA,1.03162729230769,13.1099113076923,107.5651815,54.4167857142857,40.4995945,117.202966,20.9682830434783,17.4581371428571,115.229225,0.8080808,0,0,0.257575757575758,2,0,1,0,0,351.61301,0.7761334,"Rest"
"Denmark","DNK","DK",0.0213077284940035,55.718,0,0,0,0,0,0,0,43,1,72.2,8.817,0.006,4,0.778,0,0,0.01,0,0.05,0,0,0,0.46,0.92,1,0.003714,-0.78373,2092.143,0.104,0.0339,0,1,1,0,0.005,112,0.0735,0.1926,0.001,0,NA,1.367719,14.9097084615385,54.1144427083333,NA,50.0607813043478,65.062467826087,18.3671542857143,48.3502290909091,66.0057109090909,0.713924960606061,0,0,0.270142180094787,3,0,0,1,0,347.49274,0.7711154,"Rest"
"Dominican Republic","DOM","DO",0.0321380550358989,18.561,0,1,0,1,1,0,0,49,0.98,52.2,7.0432,0.024,3,0,0,0,0.95,0,0.04,0,0,0,0.804,0,0.5,0.026829,-1.2708,906.6187,0.013,0.0187,0.36,2.1667,2.5556,0.001,0.87,129,0.021,0.1508,38.4014,0.369,583.7701,10.5276676153846,20.03559,19.9488519019608,NA,NA,NA,NA,10.032240875,26.02228875,0.382395360606061,-0.002976190625,0,0.55688622754491,4,0,0,0,1,821.17169,0.263478,"Lat. America"
"Ecuador","ECU","EC",0.0215900838575842,2.062,1,0,0,0,1,0,1,284,0.83,53.4,7.2661,0.098,3,0.844,0,0,0.95,0,0.53,0,0,0,0.983,0,0.66667,0.029481,-1.1501,1397.156,0.026,0.0155,0.56,3.7222,3.1111,0,0.714,113,0.027,0.2172,24.0514,0.201,NA,6.00565738461538,-1.61388776923077,20.500771372549,NA,6.764511,5.11790228947368,24.3942976470588,NA,NA,0.297258278787879,-0.01041666875,0.03125,0.889502762430939,5,0,0,0,1,1040.6094,0.3305178,"Lat. America"
"Spain","ESP","ES",0.0308345908927353,37.398,0,0,0,0,0,0,0,505,1,68.9,8.0599,0.006,5,0.778,77,0,0.99,0,0.44,0,0,0,0.465,0,0.83333,0.00883,-0.96837,11563.76,0.04,0.0097,0.08,2.3889,2.8889,0,0.728,89,0.04708,0.13032,0.001,0,NA,1.89187527692308,22.4355123076923,96.4591066666667,52.6168578571429,59.5626404347826,126.290563043478,21.1488820833333,99.79837,152.710975,0.711399718181818,-0.0029761875,0,0.687203791469194,4,0,0,0,1,316.25925,0.7449852,"Rest"
"Ethiopia","ETH","ET",0.0162027298460301,9.007,0,0,0,1,0,1,0,1222,0.07,42.2,5.5175,0.001,0,0,0,0,0,0,0.69,0,0,0.42,0.983,0,0.5,0.022771,-0.67002,12378.53,0.001,0.0095,0.72,6.6667,6.6111,0,0.002,98,0.006,0.0488,70.0233,0.156,87.6173066666667,3.970757,10.3476673846154,9.2334055,NA,NA,NA,NA,1.2009597,0.11315475,0.122655118181818,-0.0119047625,0.0625,0.257575757575758,2,0,0,0,1,1141.4099,0.9637119,"Sub-Sahara"
"Finland","FIN","FI",0.0282719185164516,60.212,0,0,0,0,0,0,0,338,0.97,68.5,8.5912,0.004,4,0.778,76,0,0,0,0.16,0,0,0,0.333,0.89,1,0.004215,-0.78329,2024.067,0.074,0.0446,0,1.8333,1.9444,0,0,126,0.11696,0.25214,0.001,0,NA,1.09865461538462,17.8709006153846,56.6011701960784,NA,82.226067826087,76.3463955652174,24.98314,15.2770025,86.27969375,0.621933621212121,-0.001116071875,0,0.617021276595745,3,0,0,1,0,1092.2708,0.340087,"Rest"
"France","FRA","FR",0.0237870545512141,48.857,0,0,0,0,0,0,0,552,1,70.4,8.6963,0.005,4,0.8,90,0,0.9,0,0.26,0,0.01,0.01,0.253,0.02,1,0.007078,-0.8391,19740.06,0.075,0.0231,0,1,1.8611,0,1.004,98,0.081263,0.18114,0.001,0,NA,0.939853507692308,15.7398436153846,66.3861512244898,NA,61.0922569565217,74.8368656521739,21.6920345833333,38.02331375,99.15671,0.679653693939394,-0.001488096875,0,0.492890995260663,3,0,0,0,1,321.56705,0.8393952,"Rest"
"United Kingdom","GBR","GB",0.0201582999624495,51.51,0,0,0,0,0,0,1,245,0.92,70.8,8.7809,0.022,4,0.778,0,0,0.15,0,0.32,0,0.01,0,0.167,0.84,1,0.002768,-0.77068,24232.53,0.09,0.0345,0.24,1,1,0.974,0,99,0.0686,0.1158,0.001,0,NA,1.69215338461538,10.3612093076923,136.580460869565,60.5161428571429,123.645316956522,88.9915186956522,16.0136605769231,26.72494,122.751116666667,0.835497854545455,0,0,0.402843601895735,3,1,0,0,0,336.96909,0.7882991,"Rest"
"Ghana","GHA","GH",0.00977921391023574,6.694,0,0,1,0,0,1,0,239,0.38,45.2,6.7719,0.016,3,0.222,0,0,0.12,0,0.71,0,0,0.3,0.994,0.12,0.16667,0.027276,-0.83425,2941.271,0.002,0.026,0.547,5.8889,5,0,0,248,0.00443,0.08667,588.6267,0.35,248.3521,11.9716161538462,8.511691,7.03250841666667,NA,13.09994325,3.47520563157895,NA,4.331353625,3.90673475,0.222222221212121,-0.001488096875,0,1.12962962962963,4,1,0,0,0,1381.199,0.393699,"Sub-Sahara"
"Greece","GRC","GR",0.0283219164875712,38.058,0,0,0,1,0,0,0,132,1,68.8,7.6334,0.017,4,0.8,86,0,0,0,0.1,0,0,0.01,0.654,0,0.5,0.006873,-0.90017,3384.926,0.039,0.0137,0.2,1.9444,2.2222,0,0,116,0.06836,0.22514,3.5865,0.007,NA,2.85935349090909,2.59390472727273,39.1365517647059,45.7792142857143,40.0791205217391,48.7909086956522,28.2518220833333,38.41415875,73.9648414285714,0.466089466666667,0,0,1.07692307692308,5,0,0,0,1,455.24072,0.5735331,"Rest"
"Guatemala","GTM","GT",0.0136115948098043,14.622,1,0,0,1,1,0,0,109,0.45,45.9,7.4012,0.003,3,0.422,90,0,0.95,0,0.64,0,0,0,0.72,0.03,0.16667,0.027946,-1.1401,1267.687,0.016,0.0156,0.507,4,4.1111,0,0.588,109,0.02,0.0681,41.5205,0,NA,7.02202923076923,15.0426763846154,16.1508139215686,NA,0.854906266666667,4.62782,NA,27.86083875,NA,0.362193348484849,-0.004464284375,0,0.38150289017341,3,0,0,0,1,1014.7902,0.5048137,"Lat. America"
"Hong Kong SAR China","HKG","HK",0.0473718587556083,22.704,0,0,1,0,0,0,1,1,0.87,66,7.7062,0.001,5,1,0,0.3,0.05,0.3,0.02,0,0,0,0.041,0.05,1,0.021764,-0.94315,1197.405,0.044,0.0168,0,3.61,2.11,0.004,0.98,116,0.0684,0.1307,0.51302,0.002,NA,2.46145785384615,13.9951872307692,146.660761904762,47.6466428571429,303.769830434783,68.2836447826087,26.3896321052632,23.4337875,47.96331,0.806637815151515,0,0,0.257575757575758,2,1,0,0,0,1211.7325,0.8907155,"Rest"
"Honduras","HND","HN",0.00911381229853495,14.194,1,0,0,1,1,0,1,112,0.67,46.8,6.9068,0.014,3,0.356,80,0,0.97,0,0.16,0,0,0,0.919,0.02,0.16667,0.033245,-1.141,618.2325,0.011,0.0211,0.32,4.0556,3,0.003,0.843,156,0.0446,0.0939,10.9696,0,NA,7.56480261538462,29.1502307692308,28.5437572156863,NA,7.471664,NA,NA,20.71343,12.85830275,NA,NA,NA,0.728323699421965,3,0,0,0,1,839.68402,0.3246004,"Lat. America"
"India","IND","IN",0.0326783690692117,25.274,0,0,1,1,0,0,0,3288,0.61,42.5,6.4998,0.017,3,0.022,0,0.01,0.01,0,0.89,0.83,0,0.11,0.48,0.01,0.5,0.022118,-0.81509,195781.5,0.025,0.021,0.12,2,3.0556,0,0,94,0.0137,0.1545,21.6423,0.523,652.00992,3.25502915384615,35.19705,22.4570307647059,66.3807272727273,42.2395646521739,103.943438695652,26.2391447058824,9.449989875,5.7889866,0.197691196969697,0,0,0.6875,3,1,0,0,0,604.38745,0.6981865,"Rest"
"Ireland","IRL","IE",0.0340867864353971,54.611,0,0,1,0,0,0,1,70,1,69.7,8.0542,0.009,5,0.644,78,0,0.93,0,0.04,0,0,0,0.593,0.03,0.83333,0.008975,-0.92938,1118.863,0.081,0.0286,0,1,1.2222,0.742,0,119,0.07283,0.18697,0.001,0,NA,0.587566653846154,2.80348793846154,70.3712670588235,17.9590714285714,52.805958125,46.373144375,18.7799282916667,32.9114175,92.5915475,0.787518045454546,0,0,0.235955056179775,2,1,0,0,0,314.48044,0.5470455,"Rest"
"Israel","ISR","IL",0.0352468961884792,32.084,0,0,1,1,0,0,0,21,0.98,71.7,8.1161,0.006,4,0.222,79,0,0.01,0,0.2,0,0.82,0.14,0.295,0.01,0.16667,0.026064,-1.0244,758.926,0.102,0.0368,0,2,2.3333,0,0.338,110,0.1112,0.1747,13.8509,0.21,1064.506,2.38626384615385,23.5295723076923,51.605517254902,52.6207142857143,56.2187887826087,61.2374430434783,22.2259831578947,19.6999125,86.7841425,0.509379509090909,-0.00595238125,0,0.257575757575758,2,1,0,0,0,471.08746,0.5005478,"Rest"
"Italy","ITA","IT",0.0258503654304595,45.415,0,0,0,0,0,0,1,301,1,69.4,8.4468,0.002,3,0.8,81,0,1,0,0.04,0,0,0,0.168,0,0.83333,0.004732,-0.88479,20722.56,0.066,0.0303,0.04,1.2222,1.5556,0,0.006,92,0.06034,0.18906,0.001,0,779.689875,2.02688446153846,12.2341654615385,66.9646529166667,43.2429166666667,30.8919043478261,94.8429373913043,23.0528938461538,66.31171625,89.13468125,0.572871581818182,-0.00148809375,0,0.4739336492891,3,0,0,0,1,399.15918,0.6899661,"Rest"
"Jamaica","JAM","JM",0.00659742798702995,18.055,0,0,1,1,1,0,0,11,0.92,63,7.4922,0.089,5,0.422,0,0,0.05,0,0.05,0,0,0,0.471,0.56,0.16667,0.014329,-0.8916,667.89,0.017,0.0201,0,1.7222,2.6111,0.94,0,139,0.046,0.1604,29.0476,0.02,NA,8.43439263636364,3.53908827272727,21.9005345098039,NA,50.2613330434783,6.21859591304348,12.662533,6.61242875,23.22568625,0.37662336969697,-0.007440471875,0,0.257575757575758,2,1,0,0,0,1320.756,0.2088442,"Lat. America"
"Jordan","JOR","JO",0.0138012066646129,31.602,0,0,1,1,0,0,0,89,0.77,47.2,7.0397,0.037,5,0.667,0,0,0.04,0,0.05,0,0,0.92,0.838,0.04,0.16667,0.028379,-1.3509,439.005,0.006,0.0329,0.2,5.7222,5.6667,0,1,116,0.0346,0.142,3.5906,0.021,NA,2.95180938461538,36.2926492307692,60.8654645714286,31.1126666666667,100.016359565217,29.3649036086957,15.6105317272727,19.12906375,27.359408,0.668109678787879,-0.00148809375,0,0.257575757575758,2,0,0,0,1,471.08746,0.5044919,"Rest"
"Japan","JPN","JP",0.0421334064156809,35.712,0,0,0,0,0,0,1,378,1,67.7,7.9983,0.003,5,0.733,0,0.87,0,0,0.01,0,0,0,0.067,0.01,1,0.009468,-0.74402,44714.421,0.095,0.0317,0,1.4444,1,0,0,118,0.1223,0.2377,0.001,0,NA,1.231628,11.4099486153846,121.99553,70.0647135714286,79.0847617391304,74.6729630434783,16.1927383461538,34.12199875,127.190675,0.61760463030303,0,0,0.464454976303318,6,0,1,0,0,1299.3673,0.8840892,"Rest"
"Kenya","KEN","KE",0.00699281362203003,0.513,0,0,1,0,0,1,1,580,0.47,45,6.4646,0.002,5,0.044,79,0,0.28,0,0.83,0,0,0.06,0.874,0.38,0.33333,0.035654,-0.80833,3712.739,0.001,0.0361,0.05,5.3333,4.8333,0,0,131,0.028,0.1465,12.4476,0.014,304.4344125,7.86777915384615,11.8498201538462,20.368072,NA,21.237229173913,5.65796804545455,10.98282,3.75422325,5.318532125,0.436147193939394,-0.00186011875,0,0.9375,4,1,0,0,0,1864.2802,0.0279832,"Sub-Sahara"
"Korea Rep.","KOR","KR",0.0578941982243486,37.553,0,0,0,0,0,0,1,99,0.94,54.2,6.7833,0.007,3,0.6,0,0.16,0.12,0.6,0,0,0,0,0.234,0.12,0.5,0.018594,-1.0844,8453.514,0.047,0.0352,0.4,4.4444,5.1667,0,0,110,0.062,0.1617,28.1956,0.602,NA,2.44881498461538,7.75349223076923,55.6515365853659,55.7441435714286,53.826885,197.502362727273,23.6880938387097,18.17188125,234.8113,0.496392493939394,-0.005952384375,0,0.818181818181818,3,0,1,0,0,1052.1578,0.9154712,"Rest"
"Sri Lanka","LKA","LK",0.0362156753925407,6.868,0,0,1,1,0,0,1,66,0.95,62.3,7.1444,0.014,2,0.4,0,0.69,0.04,0,0.47,0.15,0,0.08,0.986,0.04,0.33333,0.019052,-1.0244,3550.151,0.006,0.0382,0.08,2.4444,3.4444,0.009,0,51,0.011,0.1372,268.4733,0.871,NA,4.61099484615385,9.60522884615385,17.9150499803922,56.1497857142857,15.6197753478261,15.8335553478261,17.3598868076923,12.74440175,11.8034792,0.3553391,-0.005208334375,0,0.301587301587302,2,1,0,0,0,665.83234,0.747531,"Rest"
"Morocco","MAR","MA",0.0280111885351303,33.593,0,1,0,1,0,0,0,447,0.47,46.9,6.6733,0.029,3,0.444,0,0,0,0,0.53,0,0,0.99,0.903,0.01,0.16667,0.025559,-1.2698,3265.743,0.005,0.0305,0.08,4.1667,4.6111,0,0.74,123,0.015,0.0684,9.0524,0.179,NA,3.87863553846154,30.0560776923077,28.260027826087,27.6946666666667,34.2933553478261,16.8170792173913,11.3117215,15.182065625,15.788381625,0.303030303030303,-0.001488096875,0,0.345454545454545,3,0,0,0,1,595.09723,0.828517,"Rest"
"Madagascar","MDG","MG",-0.00784475521532367,18.958,0,1,0,0,0,1,0,587,0.52,41,7.0588,0.078,1,0,0,0,0.2,0,0.06,0,0,0.07,0.928,0.21,0.66667,0.026986,-0.6706,2715.022,0.002,0.0206,0.1,5.2222,5.0556,0,0,120,0.01,0.0611,4.799,0.05,27.9147675,7.54533323076923,13.0929015384615,14.342817787234,NA,NA,NA,NA,1.3534715,1.0692540875,0.405122651515152,-0.00186011875,0,0.257575757575758,2,0,0,0,1,1168.8062,0.2992748,"Sub-Sahara"
"Mexico","MEX","MX",0.0192987639326399,16.759,1,0,0,0,1,0,0,1958,0.8,57.3,7.9367,0.032,3,0.2,0,0,0.89,0,0.3,0,0,0,0.675,0.06,0.66667,0.028529,-1.2406,10995.38,0.026,0.0134,0,3.6667,3.6667,0,0.88,71,0.022,0.1739,14.5146,0,NA,6.26907076923077,25.1499361538462,19.8594181568627,36.2944285714286,26.7164614782609,34.2416404347826,25.3849723529412,12.81463625,38.44422,0.525252524242424,-0.007440478125,0.03125,1.11111111111111,6,0,0,0,1,904.46844,0.5934624,"Lat. America"
"Malawi","MWI","MW",0.0228253500910549,15.811,0,0,1,0,0,1,1,118,0.67,37.9,5.9054,0.089,5,0,0,0,0.2,0,0.62,0,0,0.2,0.963,0.55,0.16667,0.030129,-0.69796,1756.03,0,0.0118,0,6.3889,6.5556,0,0,116,0.018,0.1143,32.6426,0.086,191.4634,13.3070061538462,23.7675184615385,8.67101696774193,NA,17.0649791666667,3.38315066666667,NA,1.090105,NA,NA,NA,NA,0.257575757575758,2,1,0,0,0,2056.8291,0.3331189,"Sub-Sahara"
"Malaysia","MYS","MY",0.0413290721898624,3.269,0,0,1,0,0,0,1,330,0.96,54.3,7.2306,0.103,5,1,0,0.27,0.01,0.01,0.72,0.07,0,0.54,0.926,0.02,0.66667,0.026187,-1.061,2817.254,0.012,0.0281,0.04,3.1111,4.0556,0,0.309,88,0.04,0.1924,2.1525,0.018,NA,3.37365607692308,28.5320569230769,69.0268113529412,63.2430769230769,151.146764782609,39.075722173913,20.5718528235294,11.06811875,41.20313125,0.569985581818182,-0.0133928625,0.03125,0.416666666666667,3,1,0,0,0,1210.972,0.5743015,"Rest"
"Nigeria","NGA","NG",0.0131579886968172,6.543,0,0,1,1,0,1,1,924,0.36,39.7,6.3226,0.208,4,0,0,0,0.2,0,0.87,0,0,0.5,0.988,0.2,0.16667,0.031227,-1.0421,14920.97,0.001,0.0136,0.52,4.8889,4.0556,0,0.002,277,0.02,0.1,45.1837,0.086,403.62248,7.51089923076923,3.03122735384615,11.7006479411765,NA,12.4963382173913,8.1951774,16.79298125,5.34969375,7.06086784285714,0.455988448484848,-0.005952384375,0,0.96078431372549,5,1,0,0,0,1200.8705,0.553184,"Sub-Sahara"
"Netherlands","NLD","NL",0.0240573970228042,51.874,0,0,0,0,0,0,1,37,1,73.3,8.7167,0.027,4,0.8,76,0,0.36,0,0.1,0,0,0,0.433,0.27,1,0.00854,-1.0362,4073.104,0.132,0.0412,0,1,1,0,0,105,0.08081,0.17779,0.001,0,NA,0.9816989,8.90789630769231,81.0267483673469,NA,88.9638365217391,99.6141834782609,20.3877582142857,26.9493025,60.13750375,0.857503621212121,-0.001116071875,0,0.364928909952607,3,0,0,0,1,334.18127,0.7487031,"Rest"
"Norway","NOR","NO",0.0266664813992729,59.977,0,0,0,0,0,0,0,324,1,73.4,8.6405,0.079,4,0.778,80,0,0.02,0,0.04,0,0,0,0.446,0.9,1,0.005482,-0.93496,1405.901,0.069,0.0349,0,1,1,0,0,107,0.10136,0.19054,0.001,0,1154.9246,1.78654753846154,23.3414669230769,46.8482054347826,31.6450769230769,39.345462173913,85.9740195652174,24.4878386666667,11.7289475,58.09715,0.637806654545455,-0.001116071875,0,0.303317535545024,3,0,0,1,0,337.29965,0.5737327,"Rest"
"Pakistan","PAK","PK",0.0246515068462678,31.173,0,0,1,1,0,0,0,796,0.3,43.3,6.4329,0.006,3,0,0,0,0.01,0,0.64,0.01,0,0.97,0.428,0.01,0.16667,0.030556,-1.0694,17144.56,0.01,0.0154,0.32,4.9444,4.7778,0,0,77,0.015,0.1073,35.2203,0.61,192.8623125,4.46713369230769,10.6290326153846,21.7037718431373,NA,17.7386967826087,164.141084217391,24.3352130769231,8.01637825,2.8391463875,0.21645023030303,-0.0044642875,0,0.257575757575758,2,1,0,0,0,531.82092,0.7825286,"Rest"
